index,hora,semaforo,direccion,cuantos,estado,placa,prob
2018-02-07,14-23-23,ROJO,directo,x1,-Infraccion,4481CKL,100
2018-02-07,11-11-15,ROJO,directo,x1,-Infraccion,2198PYT,100
2018-02-07,11-38-41,ROJO,directo,x1,-Infraccion,2915GHF,100
2018-02-07,09-38-48,ROJO,directo,x1,-Infraccion-PlacaNoVisible,638USR,100
2018-02-07,15-20-38,ROJO,directo,x1,-Infraccion,2856IRI,100
2018-02-07,12-33-36,ROJO,directo,x1,-Infraccion-PlacaNoVisible,600ZXP,100
2018-02-07,13-05-06,ROJO,Isquierda,x1,-Infraccion,2070GKD,100
2018-02-07,13-14-17,ROJO,directo,x1,-Infraccion,2564IAP,100
2018-02-07,15-48-05,ROJO,directo,x1,-PlacaNoVisible,2151CES,100
2018-02-07,17-11-24,ROJO,directo,x2,-Infraccion-GiroDerecha,4110HGD,100
2018-02-07,09-30-39,ROJO,directo,x1,-Infraccion,7285LYL,100
2018-02-07,15-54-35,ROJO,directo,x1,-Infraccion,1312SZK,100
2018-02-07,15-46-04,ROJO,derecha,x1,-Infraccion,2615YIR,100
2018-02-07,15-49-05,ROJO,directo,x1,-Infraccion,3769KTF,100
2018-02-07,12-46-49,ROJO,directo,x1,-Infraccion,181ATN,100
2018-02-07,13-30-45,ROJO,directo,x1,-Infraccion,2331XFB,100
2018-02-07,16-11-26,ROJO,directo,x1,-Infraccion,2799NNC,100
2018-02-07,15-35-51,ROJO,directo,x1,-Infraccion,2172CFE,100
2018-02-07,07-38-49,ROJO,directo,x1,-PocoVisible,4129FFR,100
2018-02-07,12-58-27,ROJO,directo,x1,-Infraccion,4129DYP,100
2018-02-07,13-03-05,ROJO,directo,x1,-Infraccion,2323SGG,100
2018-02-07,16-35-50,ROJO,directo,x2,-Infraccion,2977TEU,100
2018-02-07,17-27-29,ROJO,directo,x2,-Infraccion,2344YTF,100
2018-02-07,16-04-20,ROJO,directo,x1,-Infraccion,2424NAS,100
2018-02-07,09-28-34,ROJO,directo,x1,-Infraccion,3114BKS,100
2018-02-07,13-17-20,ROJO,directo,x1,-Infraccion,2172BCR,100
2018-02-07,09-41-48,ROJO,directo,x1,-Infraccion,839ELL,100
2018-02-20,08-17-22,ROJO,directo,x1,-Infraccion,2592HZF,100
2018-02-20,08-50-55,ROJO,izquierdo,x1,-Infraccion,1257xSS,86
2018-02-20,14-37-32,ROJO,directo,x1,-Infraccion,3776REC,100
2018-02-20,07-45-52,ROJO,directo,x1,-Infraccion,2514HPF,100
2018-02-20,17-22-13,ROJO,directo,x1,-Infraccion,4450RHA,100
2018-02-20,09-00-03,ROJO,directo,x1,-Infraccion-PlacaDespintada,1991FLY,100
2018-02-20,09-29-33,ROJO,directo,x1,-Infraccion,1222SDF,100
2018-02-20,17-49-40,ROJO,directo,x1,-Infraccion-PlacaSucia,126xxFA,72
2018-02-20,16-33-26,ROJO,directo,x1,-Infraccion,2338SNI,100
2018-02-20,14-42-42,ROJO,izquierdo,x1,-Infraccion,2273HRF,100
2018-02-20,17-39-29,ROJO,directo,x1,-Infraccion,4059GSI,100
2018-02-20,09-30-35,ROJO,directo,x1,-Infraccion,4129FFR,100
2018-02-20,14-09-08,ROJO,directo,x1,-Infraccion-Camion-Duplicado,2105IPI,100
2018-02-20,15-21-15,ROJO,directo,x1,-Infraccion,2149FLG,100
2018-02-20,16-38-32,ROJO,directo,x1,-Infraccion,1941SHx,84
2018-02-20,17-28-22,ROJO,directo,x1,-Infraccion-Pintado,1753PTP,100
2018-02-20,07-54-59,ROJO,directo,x1,-Infraccion,1141SNG,100
2018-02-20,14-33-28,ROJO,directo,x1,-Infraccion,1991FLY,100
2018-02-20,16-46-38,ROJO,directo,x1,-Infraccion-PlacaDespintada,1754GYD,100
2018-02-20,14-15-10,ROJO,directo,x1,-Infraccion,3993RIX,100
2018-02-20,13-53-51,ROJO,directo,x1,-Infraccion,2893BIB,100
2018-02-20,14-09-06,ROJO,directo,x1,-Infraccion-Camion,2105IPI,100
