count,word
355,RuidoAdelantado
181,RuidoCaptura
169,pocaluz
167,blur
161,PlacaDespintada
108,Amanecer
65,Noche
60,Ruidocaptura
47,Sticker
30,lento
28,despintado
27,Duplicado
24,rapido
20,PlacaSucia
18,night
16,noche
15,sinpintar
15,nublado
13,faltapintar
12,PlacaNoVisible
12,lluvia
10,muylento
10,RuidoCamara
10,Moto
10,SinPlaca
9,RuidoCarril
7,congestion
7,SinVideo
7,Pintura
7,muyabajo
6,bus
6,sinplaca
6,Camion
6,sucio
6,Bicicleta
5,PlacaNoPintada
5,Nublado
5,sinPlaca
5,Sincaptura
5,NoVisible
5,Flota
5,PlacaOscura
4,Colectivo
4,pedestrian
4,pintura
4,SINPLACA
3,Ruidocamara
3,noice
3,Doble
3,pocaluzBlur
3,Velocidad
3,RuidoRetrasado
3,moto
3,trancadera
3,PlacaBorrosa
3,ruidoadelantado
2,Chileno
2,ruidoadelntado
2,muyrapido
2,Ambulancia
2,No pintado
2,Ruidoadelantado
2,otroframe
2,RuidoSentido
2,Cortado
2,FLOTA
2,Hamburguesas
2,Adelantado
2,atardecer
2,Persona
2,Pintado
2,borroso
2,TapadoMarcadeAgua
2,Uruguay
2,placa
2,Visibilidad
2,AltaVelocidad
1,genteNoice
1,Sinplaca
1,muchaluz
1,dedosframesseextralaplaca
1,ruido
1,blut
1,SinSemaforo
1,despintadoBUS
1,placaSucia
1,MarcadeAgua
1,leftturns
1,Borroso
1,Sucia
1,nicht
1,VideoLento
1,muylejos
1,directo
1,BUG
1,nubladoBlur
1,pocalus
1,bicileta
1,Roscones
1,desgaste
